event_id,trip_id,timestamp,reason,location_type
1,T00060,2024-06-22 15:39:19.521042084,road_closure,residential
2,T00286,2024-09-13 12:27:49.889779558,road_closure,intersection
3,T00453,2024-11-13 19:08:04.737474950,pedestrian_unexpected,highway
4,T00176,2024-08-04 04:17:45.020040080,pedestrian_unexpected,parking_lot
5,T00484,2024-11-25 03:14:55.655310622,road_closure,parking_lot
6,T00007,2024-06-03 04:51:11.629258517,pedestrian_unexpected,intersection
7,T00310,2024-09-22 07:49:44.406813628,software_limitation,intersection
8,T00205,2024-08-14 19:35:00.394789579,pedestrian_unexpected,parking_lot
9,T00079,2024-06-29 14:35:28.180360721,construction_zone,parking_lot
10,T00068,2024-06-25 13:56:22.693386773,sensor_occlusion,intersection
11,T00064,2024-06-24 02:51:05.607214428,emergency_vehicle,parking_lot
12,T00163,2024-07-30 09:51:53.989979960,driver_override,residential
13,T00185,2024-08-07 11:31:38.963927856,sensor_occlusion,intersection
14,T00370,2024-10-14 07:51:31.699398798,pedestrian_unexpected,highway
15,T00325,2024-09-27 19:45:34.979959920,sensor_occlusion,intersection
16,T00333,2024-09-30 18:29:49.152304610,software_limitation,highway
17,T00353,2024-10-08 02:10:54.583166332,pedestrian_unexpected,parking_lot
18,T00340,2024-10-03 08:16:36.553106212,driver_override,intersection
19,T00499,2024-11-30 15:31:38.228456914,driver_override,intersection
20,T00239,2024-08-27 06:50:05.627254509,construction_zone,intersection
21,T00328,2024-09-28 22:13:26.294589178,software_limitation,highway
22,T00431,2024-11-05 16:43:08.763527054,sensor_occlusion,highway
23,T00190,2024-08-09 07:31:18.821643286,sensor_occlusion,intersection
24,T00273,2024-09-08 18:04:05.859719439,construction_zone,highway
25,T00197,2024-08-11 21:59:31.222444890,pedestrian_unexpected,intersection
26,T00447,2024-11-11 13:32:42.108216432,road_closure,parking_lot
27,T00192,2024-08-10 02:38:23.364729459,driver_override,parking_lot
28,T00479,2024-11-23 07:11:49.797595190,emergency_vehicle,residential
29,T00246,2024-08-29 20:30:57.028056112,driver_override,intersection
30,T00187,2024-08-08 05:09:05.507014028,sensor_occlusion,intersection
31,T00200,2024-08-12 23:34:03.537074148,road_closure,intersection
32,T00450,2024-11-12 15:59:16.422845692,road_closure,highway
33,T00257,2024-09-02 22:09:36.515030060,driver_override,highway
34,T00090,2024-07-03 15:29:37.667334669,construction_zone,residential
35,T00263,2024-09-05 02:02:10.144288577,road_closure,residential
36,T00268,2024-09-06 22:07:57.002004008,pedestrian_unexpected,highway
37,T00462,2024-11-17 01:44:39.681362726,sensor_occlusion,highway
38,T00471,2024-11-20 08:50:01.625250500,road_closure,intersection
39,T00153,2024-07-26 18:49:13.274549098,emergency_vehicle,highway
40,T00025,2024-06-09 20:18:18.517034068,software_limitation,parking_lot
41,T00079,2024-06-29 15:06:26.180360721,emergency_vehicle,parking_lot
42,T00228,2024-08-23 06:02:02.140280561,road_closure,highway
43,T00232,2024-08-24 17:10:49.226452906,pedestrian_unexpected,parking_lot
44,T00278,2024-09-10 14:04:09.717434870,emergency_vehicle,intersection
45,T00267,2024-09-06 13:37:42.230460922,construction_zone,parking_lot
46,T00026,2024-06-10 04:06:33.288577154,software_limitation,parking_lot
47,T00125,2024-07-16 11:25:32.671342685,driver_override,residential
48,T00116,2024-07-13 05:41:36.727454910,sensor_occlusion,intersection
49,T00120,2024-07-14 15:24:02.813627254,sensor_occlusion,intersection
50,T00345,2024-10-05 03:50:11.410821644,sensor_occlusion,residential
51,T00425,2024-11-03 11:55:59.134268536,driver_override,intersection
52,T00408,2024-10-28 06:41:02.018036072,pedestrian_unexpected,intersection
53,T00319,2024-09-25 15:04:02.350701402,road_closure,highway
54,T00340,2024-10-03 07:50:48.553106212,road_closure,parking_lot
55,T00390,2024-10-21 15:53:30.130260520,pedestrian_unexpected,parking_lot
56,T00409,2024-10-28 15:08:34.789579158,driver_override,intersection
57,T00143,2024-07-23 01:56:08.559118236,construction_zone,intersection
58,T00436,2024-11-07 12:49:05.621242484,pedestrian_unexpected,intersection
59,T00206,2024-08-15 04:23:41.166332665,construction_zone,residential
60,T00089,2024-07-03 06:42:28.895791583,construction_zone,intersection
61,T00389,2024-10-21 07:55:13.358717434,sensor_occlusion,residential
62,T00377,2024-10-16 21:39:50.100200400,software_limitation,intersection
63,T00353,2024-10-08 02:09:28.583166332,emergency_vehicle,parking_lot
64,T00127,2024-07-17 05:18:14.214428857,driver_override,parking_lot
65,T00437,2024-11-07 21:32:54.392785570,driver_override,highway
66,T00081,2024-06-30 08:23:55.723446894,driver_override,parking_lot
67,T00240,2024-08-27 16:02:58.398797595,road_closure,residential
68,T00447,2024-11-11 13:37:09.108216432,pedestrian_unexpected,highway
69,T00161,2024-07-29 16:15:38.446893788,emergency_vehicle,highway
70,T00149,2024-07-25 06:37:56.188376753,sensor_occlusion,highway
71,T00351,2024-10-07 08:43:22.040080160,road_closure,intersection
72,T00011,2024-06-04 16:00:58.715430861,software_limitation,highway
73,T00474,2024-11-21 11:37:36.939879760,pedestrian_unexpected,highway
74,T00161,2024-07-29 16:18:20.446893788,emergency_vehicle,highway
75,T00249,2024-08-30 23:14:13.342685371,driver_override,intersection
76,T00490,2024-11-27 08:00:54.284569138,software_limitation,intersection
77,T00077,2024-06-28 20:55:10.637274549,software_limitation,highway
78,T00222,2024-08-21 01:16:56.511022044,pedestrian_unexpected,highway
79,T00361,2024-10-11 00:35:38.755511022,emergency_vehicle,intersection
80,T00481,2024-11-24 02:12:26.340681362,emergency_vehicle,highway
